DATE;TIME;10MAA50CP012壯XQ03;10MAA50CP012壯XQ02;10MAA50CP012壯XQ01;10MAA50CP011壯XQ02;10MAA50CP011壯XQ01;10MAA50CP011壯XQ03;10MAA50CP013壯XQ01;10MAA50CP013壯XQ02;10MAA50CP013壯XQ03;10MAA50CP001壯XQ01;10MAA50CP012匣Q01低F;10MAA50CP011匣Q03低F;10MAA50CP013匣Q01低F;10MAA50CP011匣Q02利_AL;10MAA50CP011匣Q01低F;10MAA50CP013匣Q02利_AL;10MAA50CP012匣Q03低F;10MAA50CP012匣Q02利_AL;10MAA50CP013匣Q02低F;10MAA50CP013匣Q03低F;10MAA50CP011匣Q02低F;10MAA50CP012匣Q02低F;10MAA50CP001匣Q01低F;
01.01.2023;13:00:00,000;1,0117;1405,1;0,0054255;1488,6;-0,0054250;0,99040;0,0075955;6000,0;-5,5160;-0,27083;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;13:30:00,000;1,0118;1403,9;0,0054255;1487,2;-0,0021701;0,99082;0,0075955;6000,0;-5,5178;-0,27855;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;14:00:00,000;1,0118;1404,5;0,0054255;1484,6;-0,0054250;0,99138;0,0075955;6000,0;-5,5277;-0,27951;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;14:30:00,000;1,0118;1406,2;0,0054255;1486,9;-0,0021698;0,99145;0,0075955;6000,0;-5,5153;-0,28125;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;15:00:00,000;1,0124;1407,0;0,0054255;1489,7;-0,0032549;0,99289;0,0075955;6000,0;-5,5139;-0,28096;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;15:30:00,000;1,0117;1405,2;0,0054255;1488,2;-0,0032549;0,99296;0,0075955;6000,0;-5,5207;-0,27951;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;16:00:00,000;1,0118;1406,7;0,0054255;1489,9;-0,0021701;0,99387;0,0075955;6000,0;-5,5463;-0,27951;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;16:30:00,000;1,0121;1407,1;0,0043406;1490,3;-0,0021701;0,99377;0,0075955;6000,0;-5,5519;-0,28241;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;17:00:00,000;1,0108;1408,1;0,0043406;1490,5;-0,0021701;0,99525;0,0075955;6000,0;-5,5551;-0,27662;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;17:30:00,000;1,0100;1410,3;0,0043406;1490,8;-0,0021701;0,99596;0,0075955;6000,0;-5,5551;-0,27951;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
