Timestamp;Value;Quality;Alarmtype;Suppressed;Auto-Suppressed;Display-Suppressed;Tagname;TagId;Description;Project Status;Gone Text;Raised Text;Priority;Soe;Tagout;
2025.10.28 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;11MYB01EC001§§ZS01;29367372;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ01 ВМ $ S01 MT;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;11MYB01EC001§§ZS02;29367371;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ02 ВМ $ S02 MT;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;11MYB01EC001§§ZS03;29367384;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ03 ВМ $ S03 MT;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;11MYB01EC001§§ZS04;29367383;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ04 ВМ $ S04 MT;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;11MYB01EC001§§ZS05;29367382;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ05 ВМ $ S05 MT;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;11MYB01EC001§§ZS06;29367381;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ06 ВМ $ S06 MT;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;11MYB01EC001§§ZS07;29367379;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ07 ВМ $ S07 MT;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;11MYB01EC001§§ZS08;29367378;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ08 ВМ $ S08 MT;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;11MYB01EC001§§ZS09;29367377;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ09 ВМ $ S09 MT;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;11MYB01EC001§§ZS10;29367401;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ10 ВМ $ S10 MT;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;11MYB01EC001§§ZS11;29367399;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ11 ВМ $ S11 MT;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;11MYB01EC001§§ZS12;29367403;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ12 ВМ $ S12 MT;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;11MYB01EC001§§ZS13;29367402;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ13 ВМ $ S13 MT;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;11MYB01EC001§§ZS14;29367412;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ14 ВМ $ S14 MT;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;11MYB01EC001§§ZS15;29367411;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ15 ВМ $ S15 MT;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;11MYB01EC001§§ZS51;29367130;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ51 ВМ $ S51 MT;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;11MYB01EC001§§ZS52;29367128;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ52 ВМ $ S52 MT;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;11MYB01EC001§§ZS53;29367129;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ53 ВМ $ S53 MT;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;11MYB01EC001§§ZS54;29367135;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ54 ВМ $ S54 MT;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;11MYB01EC001§§ZS56;29367131;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ56 ВМ $ S56 MT;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;11MYB01EC001§§ZS57;29367133;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ57 ВМ $ S57 MT;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;11MYB01EC001§§ZS59;29367141;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ59 ВМ $ S59 MT;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;11MYB01EC001§§ZS60;29367104;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ60 ВМ $ S60 MT;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;11MYB01EC001§§ZS61;29367111;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ61 ВМ $ S61 MT;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;195;-1;0;0;0;11MYB01EC001§§ZV01;29368235;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ГОТ к ПУСК $ RDY F SR;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;195;-1;0;0;0;11MYB01EC001§§ZV02;29368236;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;КРИТР ОТСУТ $ CRIT MIS;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;1;0;0;0;11MYB01EC001§§ZV54;29368196;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;КВО < МИН $ ACC < MIN;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;195;-1;0;0;0;11MYB01EC001§§ZV98;29378196;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ПУСК ВБР $ START SEL;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;195;1;0;0;0;11MYB01EC001§§ZV99;29368104;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ЗАЩ ОСТ $ PROT S/D;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;6;0;0;0;11MYB01EP020§458474§TRBL_AL;29368782;Trouble Alarm;1;cleared;present;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;6;0;0;0;11MYB01EP020§458476§TRBL_AL;29368625;Trouble Alarm;1;cleared;present;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;11MYB01EP020§458477§QA;29368650;Quality Alarm;1;;;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;1;227;3;0;0;0;11MYB01EP020§§ZV01;29369665;МОНГ СИСТ ДИСТ АВАР БВЫКЛ $ REM EMERGY TRIP SYST MON;1;;НЕ ПРОВЕР $ NOT CHECKED;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;195;-1;0;0;0;11MYB01EU010§§ZV01;29368892;СИСТ БВЫКЛ ГТ $ GT TRIP SYSTEM;1;;АВАР ВЫКЛ $ EMERG OFF;0;0;0;
