DATE;TIME;10LBA96CP901§§XQ01;10LBA96CP001§§XQ01;10LBA96CP003§§XQ01;10LBA96CP901§XQ01§CF;10LBA96CP001§XQ01§CF;10LBA96CP901§XQ01§TRBL_AL;10LBA96CP901§XQ01§Q_AL1;10LBA96CP901§XQ01§Q_AL2;10LBA96CP003§XQ01§CF;
02.01.2023;06:30:00,000;0,055339;0,055339;0,027850;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;07:00:00,000;0,055339;0,055339;0,027910;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;07:30:00,000;0,055941;0,055459;0,028429;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;08:00:00,000;0,054977;0,055845;0,028212;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;08:30:00,000;0,055339;0,056243;0,028212;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;09:00:00,000;0,055442;0,057569;0,028212;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;09:30:00,000;0,056002;0,056062;0,027902;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;10:00:00,000;0,055660;0,056831;0,028212;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;10:30:00,000;0,055375;0,056062;0,028212;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;11:00:00,000;0,056102;0,056257;0,027669;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;11:30:00,000;0,056010;0,054567;0,026946;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;12:00:00,000;0,056062;0,056785;0,028212;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;12:30:00,000;0,056372;0,055128;0,028212;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;13:00:00,000;0,054911;0,054977;0,028212;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;13:30:00,000;0,056785;0,056966;0,028031;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;14:00:00,000;0,055971;0,056098;0,028284;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;14:30:00,000;0,060402;0,057911;0,031105;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;15:00:00,000;0,055194;0,054073;0,026620;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;15:30:00,000;0,055017;0,054133;0,027488;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;16:00:00,000;0,054977;0,054563;0,027488;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;16:30:00,000;0,054977;0,055494;0,027488;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;17:00:00,000;0,054977;0,054408;0,027669;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;17:30:00,000;0,054977;0,053651;0,027817;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;18:00:00,000;0,055339;0,053892;0,026765;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;18:30:00,000;0,054724;0,055781;0,027850;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;19:00:00,000;0,055640;0,055287;0,027437;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;19:30:00,000;0,056966;0,055339;0,027850;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;20:00:00,000;0,054977;0,054977;0,027850;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;20:30:00,000;0,054977;0,054012;0,027521;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;21:00:00,000;0,056102;0,056017;0,027850;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;21:30:00,000;0,055804;0,055339;0,027850;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;22:00:00,000;0,055230;0,055339;0,027549;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;22:30:00,000;0,054532;0,055339;0,027282;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;23:00:00,000;0,057388;0,055339;0,028302;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;23:30:00,000;0,057870;0,055519;0,027886;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
03.01.2023;00:00:00,000;0,059181;0,057774;0,028393;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
03.01.2023;00:30:00,000;0,056032;0,057328;0,029442;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
03.01.2023;01:00:00,000;0,054615;0,055620;0,027609;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
03.01.2023;01:30:00,000;0,055640;0,055097;0,027452;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
03.01.2023;02:00:00,000;0,056641;0,056243;0,027408;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
03.01.2023;02:30:00,000;0,056785;0,058129;0,029710;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
03.01.2023;03:00:00,000;0,057147;0,056464;0,028935;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
03.01.2023;03:30:00,000;0,056424;0,054917;0,028429;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
03.01.2023;04:00:00,000;0,056424;0,056424;0,028131;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
03.01.2023;04:30:00,000;0,056831;0,058521;0,030201;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
03.01.2023;05:00:00,000;0,056807;0,057328;0,028212;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
03.01.2023;05:30:00,000;0,055881;0,059046;0,028573;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
03.01.2023;06:00:00,000;0,056134;0,055971;0,029188;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
03.01.2023;06:30:00,000;0,053651;0,057425;0,028152;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
03.01.2023;07:00:00,000;0,055007;0,055049;0,027488;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
03.01.2023;07:30:00,000;0,054736;0,055867;0,027488;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
03.01.2023;08:00:00,000;0,055580;0,054819;0,027217;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
03.01.2023;08:30:00,000;0,054816;0,053168;0,027127;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
03.01.2023;09:00:00,000;0,054977;0,055283;0,027850;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
03.01.2023;09:30:00,000;0,054856;0,054841;0,027760;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
03.01.2023;10:00:00,000;0,053892;0,054796;0,027850;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
03.01.2023;10:30:00,000;0,054253;0,055429;0,027850;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
03.01.2023;11:00:00,000;0,054917;0,055302;0,024595;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
03.01.2023;11:30:00,000;0,054525;0,054639;0,028332;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
03.01.2023;12:00:00,000;0,054977;0,055821;0,026765;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
03.01.2023;12:30:00,000;0,054977;0,054832;0,028483;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
03.01.2023;13:00:00,000;0,056062;0,055029;0,028815;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
03.01.2023;13:30:00,000;0,054925;0,053916;0,028573;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
03.01.2023;14:00:00,000;0,056269;0,054780;0,027850;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
03.01.2023;14:30:00,000;0,054434;0,055266;0,027488;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
03.01.2023;15:00:00,000;0,054977;0,054977;0,027488;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
03.01.2023;15:30:00,000;0,052264;0,054223;0,027333;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
03.01.2023;16:00:00,000;0,055996;0,057819;0,029659;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
03.01.2023;16:30:00,000;0,057589;0,056279;0,029865;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
03.01.2023;17:00:00,000;0,056579;0,056062;0,029478;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
03.01.2023;17:30:00,000;0,055971;0,055821;0,029297;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
03.01.2023;18:00:00,000;0,056062;0,054977;0,028031;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
03.01.2023;18:30:00,000;0,058051;0,057377;0,029779;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
03.01.2023;19:00:00,000;0,056713;0,056889;0,030101;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
03.01.2023;19:30:00,000;0,056966;0,055791;0,029261;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
03.01.2023;20:00:00,000;0,055429;0,055519;0,028935;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
