DATE;TIME;10MAC11CP002§§XQ01;10MAC11CP003§§XQ01;10MAC11CP001§§XQ01;10MAC11CP001§XQ01§CF;10MAC11CP002§XQ01§CF;10MAC11CP003§XQ01§CF;
04.01.2023;04:00:00,000;0,42895;0,40255;0,39978;0,00000000;0,00000000;0,00000000;
04.01.2023;04:30:00,000;0,42938;0,40283;0,40009;0,00000000;0,00000000;0,00000000;
04.01.2023;05:00:00,000;0,42947;0,40267;0,39993;0,00000000;0,00000000;0,00000000;
04.01.2023;05:30:00,000;0,42968;0,40239;0,40002;0,00000000;0,00000000;0,00000000;
04.01.2023;06:00:00,000;0,42886;0,40203;0,40002;0,00000000;0,00000000;0,00000000;
04.01.2023;06:30:00,000;0,42859;0,40074;0,39984;0,00000000;0,00000000;0,00000000;
04.01.2023;07:00:00,000;0,42949;0,40255;0,40051;0,00000000;0,00000000;0,00000000;
04.01.2023;07:30:00,000;0,42874;0,40192;0,39997;0,00000000;0,00000000;0,00000000;
04.01.2023;08:00:00,000;0,42883;0,40241;0,40092;0,00000000;0,00000000;0,00000000;
04.01.2023;08:30:00,000;0,42877;0,40215;0,40128;0,00000000;0,00000000;0,00000000;
04.01.2023;09:00:00,000;0,42928;0,40263;0,40122;0,00000000;0,00000000;0,00000000;
04.01.2023;09:30:00,000;0,42926;0,40195;0,40094;0,00000000;0,00000000;0,00000000;
04.01.2023;10:00:00,000;0,42977;0,40232;0,40165;0,00000000;0,00000000;0,00000000;
04.01.2023;10:30:00,000;0,42917;0,40213;0,40134;0,00000000;0,00000000;0,00000000;
04.01.2023;11:00:00,000;0,43014;0,40309;0,40231;0,00000000;0,00000000;0,00000000;
04.01.2023;11:30:00,000;0,42895;0,40273;0,40168;0,00000000;0,00000000;0,00000000;
04.01.2023;12:00:00,000;0,43092;0,40316;0,40183;0,00000000;0,00000000;0,00000000;
04.01.2023;12:30:00,000;0,43104;0,40353;0,40161;0,00000000;0,00000000;0,00000000;
04.01.2023;13:00:00,000;0,43116;0,40296;0,40071;0,00000000;0,00000000;0,00000000;
04.01.2023;13:30:00,000;0,43109;0,40312;0,40094;0,00000000;0,00000000;0,00000000;
04.01.2023;14:00:00,000;0,43045;0,40261;0,40171;0,00000000;0,00000000;0,00000000;
04.01.2023;14:30:00,000;0,42980;0,40255;0,40110;0,00000000;0,00000000;0,00000000;
04.01.2023;15:00:00,000;0,42850;0,40183;0,39993;0,00000000;0,00000000;0,00000000;
04.01.2023;15:30:00,000;0,42913;0,40213;0,39990;0,00000000;0,00000000;0,00000000;
04.01.2023;16:00:00,000;0,43499;0,40737;0,40571;0,00000000;0,00000000;0,00000000;
04.01.2023;16:30:00,000;0,43498;0,40828;0,40520;0,00000000;0,00000000;0,00000000;
04.01.2023;17:00:00,000;0,43384;0,40684;0,40458;0,00000000;0,00000000;0,00000000;
04.01.2023;17:30:00,000;0,43286;0,40617;0,40366;0,00000000;0,00000000;0,00000000;
04.01.2023;18:00:00,000;0,43351;0,40638;0,40357;0,00000000;0,00000000;0,00000000;
04.01.2023;18:30:00,000;0,43221;0,40588;0,40288;0,00000000;0,00000000;0,00000000;
